ST_CASE,STATE,PEDS,VE_TOTAL,PERSONS,COUNTY,DAY_WEEK,HOUR,ROUTE,FUNC_SYS,LATITUDE,LONGITUD,TYP_INT,REL_ROAD,LGT_COND,WEATHER,FATALS,NUM_INJURED
50182,5,0,1,1,115,1,8,1,1,35.24484444,-92.95385556,1,4,1,1,1,1
50183,5,0,2,3,3,2,21,2,3,33.24436389,-91.79648333,1,2,2,1,2,3
50184,5,0,1,1,35,5,9,2,5,35.14741389,-90.30195556,1,4,1,1,1,1
50185,5,0,1,2,145,1,19,4,7,35.31271667,-91.76156667,1,1,1,1,1,2
50186,5,1,1,1,119,2,14,1,1,34.78026667,-92.39044722,1,3,1,1,1,1
50187,5,0,1,2,61,5,19,3,5,33.84145,-93.89247222,1,1,1,1,1,2
50188,5,0,1,1,7,1,21,3,5,36.25691944,-93.90896111,1,1,2,1,1,1
50189,5,0,1,1,139,5,18,3,5,33.02856667,-92.58867222,1,4,1,10,1,1
50190,5,0,1,1,95,4,0,2,3,34.89986667,-91.19445556,1,5,6,1,1,1
50191,5,0,3,6,7,4,15,6,3,36.39904167,-94.21635,1,1,1,1,3,6
50192,5,0,1,1,109,4,10,2,4,34.24448611,-93.71881389,1,4,1,1,1,1
50193,5,0,2,2,119,1,12,3,2,34.82415278,-92.15145556,1,1,1,1,1,1
50194,5,0,3,3,35,2,16,1,1,35.15096111,-90.138825,1,1,2,1,1,1
50195,5,0,1,1,35,3,21,6,7,35.23666111,-90.21,1,4,6,1,1,1
50196,5,0,1,1,47,3,18,3,5,35.23845833,-94.00498889,1,4,1,1,1,1
50197,5,0,1,2,35,6,16,1,1,35.16757222,-90.20238611,1,4,1,1,2,2
50198,5,0,2,2,5,1,11,6,4,36.34010556,-92.38063056,2,1,1,1,1,1
50199,5,0,2,2,83,2,11,3,4,35.38903056,-93.53004722,1,1,1,1,1,2
50200,5,1,2,1,119,7,2,1,1,34.68410833,-92.40602778,1,1,2,10,1,2
50201,5,1,1,1,119,3,20,3,3,34.81576111,-92.23956944,2,1,3,1,1,1
50202,5,0,2,3,59,4,3,1,1,34.37965278,-92.851325,1,1,2,1,1,2
50203,5,0,1,1,113,7,1,3,5,34.62043611,-94.39596389,1,6,2,1,1,1
50205,5,0,1,1,45,1,6,2,4,35.11257778,-92.52067222,1,4,2,1,1,1
50206,5,0,1,3,69,7,2,1,1,34.2475,-92.09980833,1,4,2,1,1,1
50207,5,0,2,6,7,7,16,1,1,36.28501389,-94.15801389,1,1,1,2,1,3
50208,5,0,1,1,131,5,13,3,4,35.20804167,-94.24366944,1,4,1,1,1,1
50209,5,0,3,5,115,1,14,1,1,35.24548333,-92.99526389,1,1,1,10,1,4
50210,5,0,1,3,67,4,20,3,4,35.65772222,-91.2485,1,4,2,1,1,2
50211,5,0,2,2,93,6,17,1,1,35.56996944,-90.14198333,1,1,1,10,1,1
50212,5,0,2,2,31,3,8,3,3,35.83850278,-90.40917778,1,1,1,1,1,2
50213,5,0,2,3,31,6,8,3,3,35.83985833,-90.37076111,3,1,1,1,1,2
50214,5,1,1,1,119,2,3,6,4,34.74973333,-92.28100278,1,1,3,1,1,1
50215,5,0,1,4,119,2,8,1,1,34.62919444,-92.26895833,1,4,1,1,1,4
50217,5,0,2,5,107,6,8,2,3,34.55499167,-90.71118056,1,1,1,2,2,5
